yt_url,check_date,is_posted_in_date_range
https://www.youtube.com/channel/UC1RjCqJ8nlQq-kx7mXYhPWg,16-05-2024,No short Videos
https://www.youtube.com/channel/UC9lOjUorxPT9avPSQ8ORi5w,16-05-2024,No short Videos
https://www.youtube.com/channel/UCijBTYEiKT1OJO54C6PnRqw,16-05-2024,No short Videos
https://www.youtube.com/channel/UCO0lkBv9enXUbSXFR-zLEUQ,16-05-2024,No short Videos
https://www.youtube.com/channel/UC8tYgnrcFXk7OCY_uoBmh-A,16-05-2024,No short Videos
https://www.youtube.com/channel/UCzGblRaF5unKKz10hACKGDg,16-05-2024,No short Videos
https://www.youtube.com/channel/UCpMGj1q-ptVSHllhhab879A,16-05-2024,No short Videos
https://www.youtube.com/channel/UCfHsXdttq6t-59HaJKgk5uw,16-05-2024,No short Videos
https://www.youtube.com/channel/UCx_eAZKDceT1yaY4bRo636A,16-05-2024,No short Videos
https://www.youtube.com/channel/UCr_vGOCPjmYx3pd1iCFL7Bg,16-05-2024,No short Videos
https://www.youtube.com/channel/UCZ9uzAn6d-7yCSL6AHXCM6A,16-05-2024,No short Videos
https://www.youtube.com/channel/UCiJAivEt0pbBA9CnAqhUpuQ,16-05-2024,No short Videos
https://www.youtube.com/channel/UC-RgePSIPItac2e9ludu1RQ,16-05-2024,No short Videos
https://www.youtube.com/channel/UCJVxtcVFZ7ndTRkhEXNwgPA,16-05-2024,No short Videos
https://www.youtube.com/channel/UCJ1LjC0GzoFy0BMWNif-tHQ,16-05-2024,No short Videos
https://www.youtube.com/channel/UCpYPXblQny-J7k3MIG-f1qQ,16-05-2024,No short Videos
https://www.youtube.com/channel/UC5y_hpfH1ChKcKx7wUEM2cg,16-05-2024,No short Videos
https://www.youtube.com/channel/UCCfy_jauEe07jowzGkEqo-g,16-05-2024,No short Videos
https://www.youtube.com/channel/UCOjKMoPYvIaiC679BYaEOKA,16-05-2024,No short Videos
https://www.youtube.com/channel/UCrLUuZAPA7K6kAip78bKxYg,16-05-2024,No short Videos
https://www.youtube.com/channel/UC10v5-HAge1PBpVSxEqSjkA,16-05-2024,No short Videos
https://www.youtube.com/channel/UCplK6C61CDN1wg01mVdQ2Yw,16-05-2024,No short Videos
https://www.youtube.com/channel/UC-4uuOgNav04iHRjjh7B82g,16-05-2024,No short Videos
https://www.youtube.com/channel/UC-cz-xLb-A7uFMUfzhh_rng,16-05-2024,No short Videos
https://www.youtube.com/channel/UCtCRr4rDWjpRi8LSWexmCKg,16-05-2024,No short Videos
https://www.youtube.com/channel/UCFpfKdO4MMSc9ZoMjk2Tikg,16-05-2024,No short Videos
https://www.youtube.com/channel/UCN106RQxroojNzkEMuRC0BA,16-05-2024,No short Videos
https://www.youtube.com/channel/UCgNxKrHO-Ow69eQCjM4ccFA,16-05-2024,No short Videos
https://www.youtube.com/channel/UCexUyFaq9YH7XJfCQzVR_jg,16-05-2024,No short Videos
https://www.youtube.com/channel/UCccKBGf5ce2jaSEs3amjWow,16-05-2024,No short Videos
https://www.youtube.com/channel/UCZI80CMaatBwH_vv2xPvlXg,16-05-2024,No short Videos
https://www.youtube.com/channel/UCDmRdI7BwsXkDg8RiZrtxxw,16-05-2024,No short Videos
https://www.youtube.com/channel/UCKxLXXUTY6bt9Dxuu-pJ4Yw,16-05-2024,No short Videos
https://www.youtube.com/channel/UCmgt7ewcg_HscfA4ks7rGhg,16-05-2024,No short Videos
https://www.youtube.com/channel/UCYZc_AIieAbxeC_hWysO7mQ,16-05-2024,No short Videos
https://www.youtube.com/channel/UCWCPCGi0sCBJkU9sKHyg14w,16-05-2024,No short Videos
https://www.youtube.com/channel/UC-gYg0JsAc0bC13CCtkEemA,16-05-2024,No short Videos
https://www.youtube.com/channel/UCG89lOGERPtdfw26C2bhC6Q,16-05-2024,No short Videos
https://www.youtube.com/channel/UCJPKwEaRF5KTaHp2FPnQBvQ,16-05-2024,No short Videos
https://www.youtube.com/channel/UCRpXRTQF0LuJK8OqGZBVaDA,16-05-2024,No short Videos
https://www.youtube.com/channel/UCvmVkGvEHoSjLxOy0moLszw,16-05-2024,No short Videos
https://www.youtube.com/channel/UC1fDnkN58T3H4vbDntZk4Jw,16-05-2024,No short Videos
https://www.youtube.com/channel/UCpSCdYMV3240T-h3RugN1qA,16-05-2024,No short Videos
https://www.youtube.com/channel/UCqJhCBsRUmfMkSo3IfSmgWQ,16-05-2024,No short Videos
https://www.youtube.com/channel/UCzCflTAaZA7FjwvkOh9cSig,16-05-2024,No short Videos
https://www.youtube.com/channel/UCeZZ5LAX3as-CPv-Bj3hPdQ,16-05-2024,No short Videos
https://www.youtube.com/channel/UCFayhUkM_PWKCU1ImcFv3Cw,16-05-2024,No short Videos
https://www.youtube.com/channel/UCesY-UN9tgibpFJ-lw3y_1A,16-05-2024,No short Videos
https://www.youtube.com/channel/UCa9OXODEH6azPrc_OEBM-Ew,16-05-2024,No short Videos
https://www.youtube.com/channel/UCeG0ONJtjwE20ThR5iSYdsA,16-05-2024,No short Videos
https://www.youtube.com/channel/UCqVYOAQ-d9iQT3ans8kuY2A,16-05-2024,No short Videos
https://www.youtube.com/channel/UCyqAMqF1eS8s3CDVYhZu6cg,16-05-2024,No short Videos
https://www.youtube.com/channel/UCzgwmlYhN_QSZiZ0pOH9pBw,16-05-2024,No short Videos
https://www.youtube.com/channel/UCY0yss5uYnri-r40LbWlUeg,16-05-2024,No short Videos
https://www.youtube.com/channel/UCBFfQLR7J5jqAUpTOS-Ic1w,16-05-2024,No short Videos
https://www.youtube.com/channel/UCVtnn60S0JmJzNOjzR_f25w,16-05-2024,No short Videos
https://www.youtube.com/channel/UC2NPgORY2gsg0-JFBIbvaBQ,16-05-2024,No short Videos
https://www.youtube.com/channel/UCLQsWzHlo8w-ADzXtSjk_qQ,16-05-2024,No short Videos
https://www.youtube.com/channel/UCcbgN1riGZBWbuarYSzJ20Q,16-05-2024,No short Videos
https://www.youtube.com/channel/UCjyvXWWlijuhPH_gd0InDdA,16-05-2024,No short Videos
https://www.youtube.com/channel/UC98TOxKQk4aLcx0EjIK0LkQ,16-05-2024,No short Videos
https://www.youtube.com/channel/UCR3S4OTTmprj-RPbxr48wOA,16-05-2024,Banned
https://www.youtube.com/channel/UCXEKwWflysXu312NmIP_dlw,16-05-2024,No short Videos
https://www.youtube.com/channel/UCoPVUbpRLrD31dqVOQhTbrA,16-05-2024,No short Videos
https://www.youtube.com/channel/UCvnHnTrg6JkTEVJD7t_ksjA,16-05-2024,No short Videos
https://www.youtube.com/channel/UCtlQ2IZbbnWMwyGq67D6BEA,16-05-2024,No short Videos
https://www.youtube.com/channel/UCHe91XNzIUwZBo2lGeazfwA,16-05-2024,No short Videos
https://www.youtube.com/channel/UCu6xxJRxG5fZzHt_yVOP92A,16-05-2024,No short Videos
https://www.youtube.com/channel/UCzay0uHEiaSsKmuGkCg-mSg,16-05-2024,No short Videos
https://www.youtube.com/channel/UCVRX62RzBgAggYNQfZsi2Jw,16-05-2024,No short Videos
https://www.youtube.com/channel/UCnOTemIK0FqCe2FHbr9mWFw,16-05-2024,No short Videos
https://www.youtube.com/channel/UCJXLYDxiIgeb1L_CAcXdcTw,16-05-2024,No short Videos
https://www.youtube.com/channel/UCsWQWNCGa6nn9JCoDaxdTUQ,16-05-2024,No short Videos
https://www.youtube.com/channel/UCj-durTg1W7uWsB8oq0u7kA,16-05-2024,No short Videos
https://www.youtube.com/channel/UCAGUSx1hbPKDqzBZH7bTjiA,16-05-2024,No short Videos
https://www.youtube.com/channel/UC-uIpGINZDL-VIHQQzJW8jw,16-05-2024,No short Videos
https://www.youtube.com/channel/UCCbLQtdzoIJB-Ah6_oWFsoA,16-05-2024,No short Videos
https://www.youtube.com/channel/UCtt0Hg9MhraTkzWwNQpplHg,16-05-2024,No short Videos
https://www.youtube.com/channel/UCXIE46_EepuxbMx0Jvw4RMw,16-05-2024,No short Videos
https://www.youtube.com/channel/UCN-F1myCRkQ1kygS_QmlsPw,16-05-2024,No short Videos
https://www.youtube.com/channel/UCkhyimXq3phfYMQIyCIfHIA,16-05-2024,No short Videos
https://www.youtube.com/channel/UC-Nfi7ln6pnjM9VySLvQ0KQ,16-05-2024,No short Videos
https://www.youtube.com/channel/UCrO7COrZpmaYX6Jzhin7v3Q,16-05-2024,No short Videos
https://www.youtube.com/channel/UCcmJmJVwglaOUJpaiJrhO_w,16-05-2024,No short Videos
https://www.youtube.com/channel/UCxedTJNaGRHiq6YfNtQVCNA,16-05-2024,No short Videos
https://www.youtube.com/channel/UCEJxQy9s9tgwHkSeR6rM48A,16-05-2024,No short Videos
https://www.youtube.com/channel/UC2IIBYSTMSvJaK2UJzCC06g,16-05-2024,No short Videos
https://www.youtube.com/channel/UCc_JT4_cVivLjkZ-EcNULNA,16-05-2024,No short Videos
https://www.youtube.com/channel/UC7H4JJ8o0kwBnYdTavPGzgA,16-05-2024,No short Videos
https://www.youtube.com/channel/UCKiFIPld4N2OjAuJ3co4HDw,16-05-2024,No short Videos
https://www.youtube.com/channel/UCiimaHZhaYQqIj4RvME6XuQ,16-05-2024,No short Videos
https://www.youtube.com/channel/UCDFHdj0KvSoJ8id97zn3DOQ,16-05-2024,No short Videos
https://www.youtube.com/channel/UCY9eI5Q-T9IaAZ4kof17FeA,16-05-2024,No short Videos
https://www.youtube.com/channel/UC6wtGnl18_9GCns9IjL-a7A,16-05-2024,No short Videos
https://www.youtube.com/channel/UCSuUYEy9DrHFxzNt5gRL_zA,16-05-2024,No short Videos
https://www.youtube.com/channel/UCJRFsGWvySjGfLjq53xdacQ,16-05-2024,No short Videos
https://www.youtube.com/channel/UCrNne0wx3c_baoP8hfmj4NQ,16-05-2024,No short Videos
